record,bullied_in_school,bullied_not_school,cyber_bullied,custom_age,sex,physically_attacked,physical_fighting,felt_lonely,close_friends,missed_school,other_students_kind_and_helpful,parents_understand_problems,most_of_the_time_or_always_felt_lonely,missed_classes
11736,No,Yes,No,16 years old,Female,1 time,0 times,Sometimes,1,3 to 5 days,Most of the time,Rarely,No,Yes
284,No,No,No,14 years old,Female,0 times,0 times,Never,2,0 days,Rarely,Sometimes,No,No
5223,No,No,No,17 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Rarely,No,No
7422,No,No,No,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Rarely,No,No
40254,No,No,No,16 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Rarely,No,No
16854,No,No,No,16 years old,Male,0 times,0 times,Never,2,1 or 2 days,Never,Never,No,Yes
47253,No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Always,No,No
51974,No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No
25679,No,No,No,14 years old,Male,2 or 3 times,0 times,Rarely,1,0 days,Never,Most of the time,No,No
10849,No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No
6346,No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,0 days,Rarely,Most of the time,No,No
27977,No,No,No,15 years old,Female,1 time,1 time,Sometimes,3 or more,0 days,Always,Rarely,No,No
46683,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Most of the time,No,No
28804,Yes,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,1 or 2 days,Sometimes,Always,No,Yes
20133,No,No,No,13 years old,Male,0 times,12 or more times,Rarely,3 or more,0 days,Sometimes,Rarely,No,No
21118,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No
40132,No,No,Yes,16 years old,Male,0 times,0 times,Rarely,3 or more,1 or 2 days,Rarely,Rarely,No,Yes
7901,Yes,No,Yes,14 years old,Female,0 times,1 time,Never,3 or more,10 or more days,Most of the time,Never,No,Yes
3001,Yes,No,No,15 years old,Female,1 time,1 time,Sometimes,2,0 days,Most of the time,Always,No,No
20097,Yes,No,No,15 years old,Female,0 times,0 times,Sometimes,1,0 days,Rarely,Always,No,No
33897,No,No,No,17 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No
12527,No,No,No,15 years old,Male,0 times,0 times,Sometimes,2,0 days,Always,Most of the time,No,No
3618,No,No,No,16 years old,Female,0 times,0 times,Never,2,0 days,Always,Always,No,No
5151,Yes,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Rarely,Never,No,No
39695,No,No,No,15 years old,Male,0 times,0 times,Never,1,0 days,Rarely,Rarely,No,No
24318,No,No,No,14 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Always,Always,No,No
18497,No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Always,No,No
22452,No,Yes,Yes,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No
38678,No,No,No,14 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Sometimes,Rarely,No,No
40554,Yes,Yes,No,16 years old,Female,0 times,0 times,Sometimes,2,0 days,Sometimes,Rarely,No,No
20553,Yes,Yes,No,17 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Never,Rarely,Yes,No
36696,No,No,No,13 years old,Female,0 times,6 or 7 times,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No
48375,No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No
23690,No,Yes,Yes,15 years old,Female,1 time,0 times,Never,3 or more,0 days,Always,Always,No,No
46193,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No
23987,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Rarely,No,No
14488,No,No,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No
16885,No,No,Yes,16 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No
37747,No,No,Yes,13 years old,Female,2 or 3 times,0 times,Most of the time,2,0 days,Always,Never,Yes,No
56705,Yes,Yes,Yes,16 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Always,Always,No,No
24926,No,No,No,17 years old,Male,0 times,1 time,Never,3 or more,3 to 5 days,Sometimes,Sometimes,No,Yes
4636,No,Yes,No,15 years old,Female,0 times,0 times,Sometimes,2,0 days,Always,Most of the time,No,No
37488,No,No,No,15 years old,Female,1 time,0 times,Always,2,0 days,Sometimes,Never,Yes,No
44397,No,No,No,15 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Rarely,Rarely,No,No
37360,No,Yes,No,13 years old,Female,0 times,1 time,Never,2,0 days,Sometimes,Never,No,No
18617,No,Yes,Yes,13 years old,Female,1 time,1 time,Never,0,0 days,Always,Rarely,No,No
26621,No,No,No,13 years old,Male,1 time,0 times,Never,3 or more,0 days,Most of the time,Rarely,No,No
43958,No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,1 or 2 days,Rarely,Rarely,No,Yes
3042,No,No,Yes,16 years old,Female,0 times,1 time,Rarely,3 or more,3 to 5 days,Most of the time,Sometimes,No,Yes
24885,No,Yes,No,15 years old,Male,0 times,12 or more times,Never,3 or more,3 to 5 days,Most of the time,Always,No,Yes
41646,Yes,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,3 to 5 days,Sometimes,Most of the time,No,Yes
7354,No,No,No,15 years old,Female,0 times,1 time,Most of the time,3 or more,0 days,Most of the time,Most of the time,Yes,No
23992,No,No,No,13 years old,Male,0 times,12 or more times,Never,3 or more,0 days,Rarely,Never,No,No
6769,Yes,Yes,No,13 years old,Female,10 or 11 times,12 or more times,Most of the time,3 or more,0 days,Always,Always,Yes,No
40009,No,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Sometimes,No,No
34462,No,No,No,16 years old,Male,1 time,2 or 3 times,Rarely,3 or more,1 or 2 days,Always,Sometimes,No,Yes
44120,No,No,No,17 years old,Male,0 times,0 times,Sometimes,2,3 to 5 days,Most of the time,Sometimes,No,Yes
25724,No,No,No,16 years old,Male,0 times,2 or 3 times,Never,3 or more,0 days,Sometimes,Never,No,No
37001,No,No,No,16 years old,Female,0 times,0 times,Most of the time,2,0 days,Most of the time,Rarely,Yes,No
15503,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No
6971,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No
27174,Yes,Yes,No,16 years old,Male,0 times,0 times,Sometimes,1,0 days,Rarely,Always,No,No
2739,No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No
